crop_type,soil_type,rainfall,season,irrigation,farm_size,yield_kg_per_ha
wheat,silty,medium,summer,flood,large,4964.74
soybean,peaty,high,fall,rainfed,large,2812.26
soybean,silty,high,winter,rainfed,small,2730.63
wheat,sandy,high,winter,rainfed,medium,3229.84
potato,loamy,high,summer,rainfed,large,40563.49
rice,sandy,low,summer,rainfed,small,3995.24
rice,sandy,medium,spring,drip,small,4158.41
corn,peaty,low,fall,drip,large,7228.13
wheat,clay,medium,summer,flood,medium,4389.64
wheat,sandy,high,summer,sprinkler,medium,3439.14
wheat,sandy,low,winter,flood,small,2876.86
corn,loamy,high,summer,flood,large,10645.6
soybean,sandy,high,winter,flood,small,2869.21
soybean,peaty,high,summer,drip,large,3565.66
soybean,peaty,medium,summer,flood,medium,3244.87
wheat,sandy,medium,spring,rainfed,medium,3062.83
corn,clay,high,winter,rainfed,medium,7599.29
wheat,peaty,medium,summer,rainfed,large,3640.55
rice,silty,medium,winter,rainfed,small,5444.75
potato,silty,high,fall,rainfed,small,37536.09
soybean,loamy,high,spring,sprinkler,small,3434.11
potato,loamy,medium,fall,flood,medium,50053.76
rice,loamy,medium,fall,drip,small,7141.6
wheat,loamy,low,spring,flood,large,4226.69
rice,peaty,low,summer,sprinkler,large,5369.78
corn,sandy,low,spring,flood,small,5019.14
wheat,peaty,medium,summer,sprinkler,medium,4293.19
soybean,sandy,medium,winter,flood,medium,2731.53
corn,silty,medium,winter,sprinkler,medium,8654.07
potato,clay,low,summer,rainfed,medium,30781.78
wheat,silty,high,summer,rainfed,large,4156.56
soybean,clay,medium,fall,rainfed,large,2449.56
wheat,clay,high,fall,rainfed,large,3999.01
corn,sandy,medium,summer,drip,medium,6083.82
rice,silty,low,fall,drip,large,5605.99
wheat,peaty,high,winter,flood,large,5048.35
corn,sandy,medium,summer,flood,small,6954.64
soybean,peaty,high,fall,rainfed,small,2543.06
potato,peaty,medium,spring,sprinkler,large,47804.41
potato,silty,medium,spring,rainfed,medium,38290.03
rice,clay,medium,summer,rainfed,large,5633.68
soybean,loamy,medium,summer,sprinkler,large,3645.28
soybean,sandy,high,winter,drip,medium,2595.97
corn,clay,high,winter,sprinkler,small,8449.28
wheat,sandy,low,summer,rainfed,small,2221.41
wheat,silty,medium,summer,rainfed,small,3351.41
rice,peaty,high,fall,drip,medium,7451.14
wheat,silty,medium,summer,sprinkler,small,4000.41
corn,silty,medium,fall,drip,small,8224.56
soybean,silty,medium,fall,sprinkler,large,3117.27
potato,peaty,high,spring,flood,large,52748.89
rice,silty,high,fall,rainfed,medium,6058.19
rice,peaty,medium,fall,flood,medium,7202.32
soybean,silty,high,summer,drip,small,3259.07
rice,peaty,high,summer,flood,medium,7656.16
rice,clay,low,summer,sprinkler,large,5516.41
soybean,peaty,low,summer,flood,medium,2545.27
wheat,loamy,medium,summer,flood,small,4869.46
corn,loamy,medium,summer,rainfed,small,6735.56
soybean,loamy,high,summer,sprinkler,small,3286.12
potato,loamy,high,fall,flood,medium,52457.3
wheat,clay,high,fall,rainfed,large,3897.76
potato,clay,high,winter,rainfed,small,36515.5
soybean,clay,medium,winter,rainfed,large,2671.6
corn,sandy,high,spring,drip,large,7297.84
wheat,loamy,high,spring,flood,large,5434.03
corn,loamy,high,summer,sprinkler,small,8577.2
corn,sandy,low,summer,drip,large,6274.32
potato,silty,low,winter,drip,small,30955.08
corn,loamy,low,fall,rainfed,small,5518.82
rice,silty,medium,fall,flood,large,6682.62
wheat,sandy,high,winter,sprinkler,medium,3628.09
wheat,peaty,high,winter,rainfed,medium,3951.79
